Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,7400,0.9296875,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,7500,0.9140625,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,7600,0.9140625,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,7700,0.96875,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,7800,0.953125,1.56444E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,7900,0.953125,1.56444E+12,113139,,,
CIFAR10,VGG,GPU,Spatial,8000,0.953125,1.56444E+12,36567,,,
CIFAR10,VGG,GPU,Spatial,8100,0.953125,1.56444E+12,36580,,,
CIFAR10,VGG,GPU,Spatial,8200,0.96875,1.56444E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,8300,0.9453125,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,8400,0.8828125,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,8500,0.8984375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,8600,0.9453125,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,8700,0.90625,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,8800,0.921875,1.56444E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,8900,0.9453125,1.56444E+12,113130,,,
CIFAR10,VGG,GPU,Spatial,9000,0.9296875,1.56444E+12,36573,,,
CIFAR10,VGG,GPU,Spatial,9100,0.9609375,1.56444E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,9200,0.9609375,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,9300,0.9140625,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,9400,0.96875,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,9500,0.9453125,1.56444E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,9600,0.9453125,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,9700,0.953125,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,9800,0.9296875,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,9900,0.9453125,1.56444E+12,113313,,,
CIFAR10,VGG,GPU,Spatial,10000,0.9453125,1.56444E+12,36565,,,
CIFAR10,VGG,GPU,Spatial,10100,0.9453125,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,10200,0.921875,1.56444E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,10300,0.9453125,1.56444E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,10400,0.96875,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,10500,0.9609375,1.56444E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,10600,0.9453125,1.56444E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,10700,0.96875,1.56444E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,10800,0.9609375,1.56444E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,10900,0.9609375,1.56444E+12,113130,,,
CIFAR10,VGG,GPU,Spatial,11000,0.953125,1.56444E+12,36568,,,
