Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms)
MNIST,LeNet,GPU,Spatial,8100,0.252299964,1.56446E+12,1363
MNIST,LeNet,GPU,Spatial,8200,0.253299981,1.56446E+12,1364
MNIST,LeNet,GPU,Spatial,8300,0.255199999,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,8400,0.256199956,1.56446E+12,1362
MNIST,LeNet,GPU,Spatial,8500,0.258099943,1.56446E+12,1364
MNIST,LeNet,GPU,Spatial,8600,0.259799987,1.56446E+12,1366
MNIST,LeNet,GPU,Spatial,8700,0.261599928,1.56446E+12,1364
MNIST,LeNet,GPU,Spatial,8800,0.263199985,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,8900,0.264599979,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,9000,0.266500026,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,9100,0.26880002,1.56446E+12,1368
MNIST,LeNet,GPU,Spatial,9200,0.270800024,1.56446E+12,1368
MNIST,LeNet,GPU,Spatial,9300,0.272200048,1.56446E+12,1366
MNIST,LeNet,GPU,Spatial,9400,0.274100035,1.56446E+12,1363
MNIST,LeNet,GPU,Spatial,9500,0.275900066,1.56446E+12,1364
MNIST,LeNet,GPU,Spatial,9600,0.278000057,1.56446E+12,1364
MNIST,LeNet,GPU,Spatial,9700,0.280200094,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,9800,0.281500041,1.56446E+12,1365
MNIST,LeNet,GPU,Spatial,9900,0.282600045,1.56446E+12,1376
MNIST,LeNet,GPU,Spatial,10000,0.285000056,1.56446E+12,
